          policy-124660 [006] 107138.057919: sched_switch:         taskset:124660 [120] R ==> migration/6:55 [0]
          policy-124660 [000] 107138.059992: sched_switch:         policy:124660 [120] D ==> policy:124661 [120]
          policy-124660 [000] 107138.061276: sched_switch:         policy:124660 [120] D ==> policy:124662 [120]
          policy-124662 [000] 107138.165118: sched_switch:         policy:124662 [69] D ==> policy:124673 [69]
          policy-124662 [000] 107138.165638: sched_switch:         policy:124662 [69] S ==> ksoftirqd/0:16 [120]
     ksoftirqd/0-16    [000] 107138.165642: sched_switch:         ksoftirqd/0:16 [120] S ==> policy:124663 [120]
          policy-124663 [000] 107138.272236: sched_switch:         policy:124663 [69] D ==> policy:124674 [69]
          policy-124663 [000] 107138.272936: sched_switch:         policy:124663 [69] S ==> policy:124662 [69]
          policy-124664 [000] 107138.378610: sched_switch:         policy:124664 [69] D ==> policy:124675 [69]
          policy-124664 [000] 107138.379099: sched_switch:         policy:124664 [69] S ==> policy:124662 [69]
          policy-124665 [000] 107138.486057: sched_switch:         policy:124665 [69] D ==> policy:124676 [69]
          policy-124665 [000] 107138.486642: sched_switch:         policy:124665 [69] S ==> policy:124662 [69]
          policy-124666 [000] 107138.592395: sched_switch:         policy:124666 [69] D ==> policy:124677 [69]
          policy-124666 [000] 107138.592960: sched_switch:         policy:124666 [69] S ==> policy:124662 [69]
          policy-124667 [000] 107138.698438: sched_switch:         policy:124667 [69] D ==> policy:124687 [69]
          policy-124667 [000] 107138.698938: sched_switch:         policy:124667 [69] S ==> policy:124662 [69]
          policy-124668 [000] 107138.732106: sched_switch:         policy:124668 [69] R ==> migration/0:20 [0]
     migration/0-20    [000] 107138.732109: sched_switch:         migration/0:20 [0] S ==> policy:124668 [69]
          policy-124668 [000] 107138.805574: sched_switch:         policy:124668 [69] D ==> policy:124688 [69]
          policy-124668 [000] 107138.806205: sched_switch:         policy:124668 [69] S ==> policy:124662 [69]
          policy-124662 [000] 107138.806211: sched_switch:         policy:124662 [69] S ==> policy:124669 [120]
          policy-124669 [000] 107138.912518: sched_switch:         policy:124669 [69] D ==> policy:124689 [69]
          policy-124669 [000] 107138.913004: sched_switch:         policy:124669 [69] S ==> policy:124662 [69]
          policy-124670 [000] 107139.019487: sched_switch:         policy:124670 [69] D ==> policy:124690 [69]
          policy-124670 [000] 107139.020141: sched_switch:         policy:124670 [69] S ==> policy:124662 [69]
          policy-124671 [000] 107139.126667: sched_switch:         policy:124671 [69] D ==> policy:124691 [69]
          policy-124671 [000] 107139.127151: sched_switch:         policy:124671 [69] S ==> policy:124662 [69]
              ps-124692 [000] 107139.130624: sched_switch:         ps:124692 [120] R ==> policy:124660 [120]
          policy-124660 [000] 107139.130650: sched_switch:         policy:124660 [120] S ==> ps:124692 [120]
              ps-124692 [000] 107139.165716: sched_switch:         ps:124692 [120] R ==> policy:124662 [69]
          policy-124662 [000] 107139.165760: sched_switch:         policy:124662 [69] X ==> ps:124692 [120]
          policy-124663 [000] 107139.177895: sched_switch:         policy:124663 [69] S ==> policy:124660 [120]
          policy-124660 [000] 107139.177916: sched_switch:         policy:124660 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 107139.273037: sched_switch:         swapper/0:0 [120] R ==> policy:124663 [69]
          policy-124663 [000] 107139.273125: sched_switch:         policy:124663 [69] X ==> policy:124660 [120]
          policy-124660 [000] 107139.273143: sched_switch:         policy:124660 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 107139.379201: sched_switch:         swapper/0:0 [120] R ==> policy:124664 [69]
          policy-124664 [000] 107139.379292: sched_switch:         policy:124664 [69] X ==> policy:124660 [120]
          policy-124660 [000] 107139.379310: sched_switch:         policy:124660 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 107139.486726: sched_switch:         swapper/0:0 [120] R ==> policy:124665 [69]
          policy-124665 [000] 107139.486818: sched_switch:         policy:124665 [69] X ==> policy:124660 [120]
          policy-124660 [000] 107139.486830: sched_switch:         policy:124660 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 107139.593063: sched_switch:         swapper/0:0 [120] R ==> policy:124666 [69]
          policy-124666 [000] 107139.593149: sched_switch:         policy:124666 [69] X ==> policy:124660 [120]
          policy-124660 [000] 107139.593195: sched_switch:         policy:124660 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 107139.699035: sched_switch:         swapper/0:0 [120] R ==> policy:124667 [69]
          policy-124667 [000] 107139.699118: sched_switch:         policy:124667 [69] X ==> policy:124660 [120]
          policy-124660 [000] 107139.699167: sched_switch:         policy:124660 [120] S ==> swapper/0:0 [120]
            code-117837 [000] 107139.806286: sched_switch:         code:117837 [120] R ==> policy:124668 [69]
